Typ;Kategorie;Text;Anzahl Antworten
W;FSK 18;Kein Sperma mehr übrig haben.;
W;FSK 18;Meine Sammlung an High-Tech-Sex-Spielzeugen.;
W;FSK 18;Natursekt.;
W;FSK 18;Oralsex nicht erwiedern.;
W;FSK 18;Pacman, unkontrollierbar am Sperma-Schlucken.;
W;FSK 18;Sex mit Patrick Steward.;
W;FSK 18;Sich ein Einweckglas in den Anus einführen.;
W;FSK 18;Tentakel Pornos.;
W;FSK 18;Zensierte Bukkakke-Pornos.;
W;Geschichte;Adolf Hitler.;
W;Geschichte;Anders Breivik.;
W;Geschichte;Beidseitige Bereitschaft zum nuklearen Gegenschlag.;
W;Geschichte;Der Urknall.;
W;Geschichte;Der Versailler Vertrag.;
W;Geschichte;Der Übermensch.;
W;Geschichte;Gandhi.;
W;Geschichte;Historische schwarze Kollegen.;
W;Geschichte;Hurricane Katrina.;
W;Geschichte;In Polen einmarschieren.;
W;Geschichte;Katapulte.;
W;Geschichte;Marcus Iunius Brutus.;
W;Geschichte;Martin Luther King.;
W;Geschichte;Sklaverei.;
W;Geschichte;Unser erster Chimpansen-Kanzler.;
W;Geschichte;Wikinger.;
W;Geschichte;Zeitreisen Paradox.;
W;Kultur;Arnold Schwarzenegger.;
W;Kultur;Bastian Pastewkas Schauspiel- karriere.;
W;Kultur;BATMAN!!!;
W;Kultur;Cards against Humanity.;
W;Kultur;Darth Vader.;
W;Kultur;Das Flötensolo aus "My Heart Will Go On".;
W;Kultur;Das Krümel Monster.;
W;Kultur;Die Macht.;
W;Kultur;Ein Amateurvideo von Heidi Klum, wie sie in eine Dose Ravioli heult.;
W;Kultur;Ein Live-Studio Publikum.;
W;Kultur;Eine M. Night Shyamalan Story-Wendung.;
W;Kultur;Justin Bieber.;
W;Kultur;Keanu Reeves.;
W;Kultur;Lady Gaga.;
W;Kultur;Michael ``Bully'' Herbig.;
W;Kultur;Michael Jackson.;
W;Kultur;Miley Cyrus mit 55.;
W;Kultur;Morgan Freemans Stimme.;
W;Kultur;Nickelback.;
W;Kultur;Nicolas Cage.;
W;Kultur;Oompa-Loompas.;
W;Kultur;Richterin Barbara Salesch.;
W;Kultur;Robert Downey, Jr.;
W;Kultur;RoboCop.;
W;Kultur;Sean Connery.;
W;Kultur;Sido.;
W;Kultur;Star Trek.;
W;Kultur;Thomas the Train.;
W;Kultur;Til Schweiger.;
W;Kultur;Tom Cruise.;
W;Kultur;Vera Int-Veen;
W;Kultur;William Shatner.;
W;Kultur;Winnie Puh.;
W;Politik;Angela Merkel.;
W;Politik;Angela Merkels Oberarme.;
W;Politik;Arbeitslose.;
W;Politik;Arbeitsplätze.;
W;Politik;Barack Obama.;
W;Politik;Bayern.;
W;Politik;Beweise vernichten.;
W;Politik;CDU-Wähler.;
W;Politik;Das Patriarchat.;
W;Politik;Der hart arbeitende Türke.;
W;Politik;Der Zorn des Putins.;
W;Politik;Die Eurokrise.;
W;Politik;Die priviligierte Oberklasse.;
W;Politik;Die Terroristen.;
W;Politik;Frank-Walter Steinmeier.;
W;Politik;George W. Bush.;
W;Politik;Helmut Kohl.;
W;Politik;Ihre Majestät, Königin Elizabeth II.;
W;Politik;Italiener.;
W;Politik;Nazis.;
W;Politik;Sigmar Gabriel.;
W;Politik;Stalin.;
W;Politik;Weltfrieden.;
W;Religion;72 Jungfrauen.;
W;Religion;Das Blut von Jesus Christus.;
W;Religion;Das Jüngste Gericht.;
W;Religion;Den Antichrist gebären.;
W;Religion;Der gesamte Chor eines Mormonen-Gotteshauses.;
W;Religion;Der Papst.;
W;Religion;Der Teufel höchst selbst.;
W;Religion;Die Amisch.;
W;Religion;Die Bibel.;
W;Religion;Die Juden.;
W;Basis;Die Pfadfinder.;
W;Religion;Gott.;
W;Religion;Meine Seele.;
W;Religion;Messdiener.;
W;Religion;Mohammed (Geheiligt sei sein Name).;
W;Religion;Scientology.;
W;Werbung;5 Euro Subway Footlongs.;
W;Werbung;Activia\SymbReg.;
W;Werbung;All-you-can-eat Shrimps für 4,99 Euro.;
W;Werbung;AXE\SymbReg Deo.;
W;Werbung;Bifi\SymbReg.;
W;Werbung;Das schwedische Tempur-Pedic\SymbReg\newline Schlafsystem.;
W;Werbung;Der Ahoi-Brause Mann.;
W;Werbung;Der kalte, erfrischende Geschmack einer Pepsi\SymbReg;
W;Werbung;Dibadibadu.;
W;Werbung;Die Make-A-Wish Stiftung.;
W;Werbung;Dominos\SymbReg Oreo Dessert Pizza.;
W;Werbung;Ein Bop it!;
W;Werbung;Meister Proper Sauberkraft.;
W;Werbung;Ronald McDonald.;
W;Werbung;The World of Warcraft.;
W;Werbung;Viagra\SymbReg.;
W;Werbung;Whiskas.;
S;Basis;\underl ist was Frauen wollen.;1
S;Basis;\underl. Einmal gepoppt, nie mehr gestoppt?;1
S;Basis;\underl. Es ist eine Falle!;1
S;Basis;\underl. High Five, Bro.;1
S;Basis;\underl. So möchte ich sterben.;1
S;Basis;\underl. So will ich sterben!;1
S;Basis;\underl? Dafür gibts eine App.;1
S;Basis;Ab sofort im Flugzeug verboten: \underl.;1
S;Basis;Als praktische Prüfung in meinem Anatomie-Kurs mussten wie \underl sizieren!;1
S;Basis;Alternative Medizin nutzt jetzt die heilende Energie von \underl.;1
S;Basis;Auf was verzichtest du in der Fastenzeit?\newline \underl.;1
S;Basis;Der Klassenausflug wurde komplett von \underl ruiniert.;1
S;Basis;Die magischen Kräfte des Mondes bescheren uns heute Nacht \underl.;1
S;Basis;Doch bevor ich Sie töte, Mr. Bond, muss ich Ihnen \underl zeigen.;1
S;Basis;Es tut mir Leid, Herr Professor, aber ich konnte meine Hausaufgaben aufgrund von \underl nicht machen.;1
S;Basis;Für deine Verbrechen gegen die Menschheit verurteile ich dich hiermit zu \underl !;1
S;Basis;Ich habe 99 Probleme, aber \underl ist keines davon.;1
S;Basis;Ich habe \underl geküsst und es gefiel mir!;1
S;Basis;Ich habe Pikachu, was hast du?!;1
S;Basis;Ich komme klar mit ein wenig Hilfe von \underl.;1
S;Basis;Ich pflege meinen Beziehungsstatus mit \underl.;1
S;Basis;Ich trinke, um \underl zu vergessen.;1
S;Basis;Immer diese Kinder mit ihren Ipads und diesem Internet… Zu meiner Zeit war \underl alles was ich brauchte um Zeit zu vertreiben.;1
S;Basis;In seinen letzten Momenten dachte Michael Jackson an \underl.;1
S;Basis;Lieber Dr. Sommer,\newline Ich habe Probleme mit \underl und würde dich gerne um Rat bitten.;3
S;Basis;Magst du meine Muffins? Ich hab sie selbst gemacht. Die geheime Zutat ist \underl .;1
S;Basis;Man sagt, im Knast könne man für 200 Zigaretten \underl bekommen.;1
S;Basis;Mein Geheimnis wie ich so viel Gewicht verloren hab ist \underl.;1
S;Basis;Morgens größer als Abends: \underl;1
S;Basis;Nach den Erdbeben brachte Bill Gates \underl zu den Haitianern.;1
S;Basis;Oh Nein! \underl ! Meine einzige Schwäche!;1
S;Basis;Papa, warum weint Mama?;1
S;Basis;Tut mir Leid, wir servieren keine Coke. Wäre \underl in Ordnung?;1
S;Basis;Und nun auf Eurosport: Das Meisterschaftsturnier des \underl.;1
S;Basis;Vielleicht wurde sie damit geboren, aber vielleicht ist es auch \underl.;1
S;Basis;Warum bin ich so klebrig?;1
S;Basis;Warum kann ich nachts nicht schlafen?;1
S;Basis;Warum tut mir alles weh?;1
S;Basis;Was denkt Angela Merkel gerade? \underl.;1
S;Basis;Was gibt es tonnenweise im Himmel?;1
S;Basis;Was habe ich aus Dänemark mitgebracht?;1
S;Basis;Was hast du aus Mexiko mitgebracht?;1
S;Basis;Was hat meine letzte Beziehung beendet?;1
S;Basis;Was hat nie verfehlt, eine Party zu beleben?;1
S;Basis;Was hilft Angela Merkel zu entspannen?;1
S;Basis;Was ist am krustigsten?;1
S;Basis;Was ist am meisten emo?;1
S;Basis;Was ist denn das für ein Geruch?;1
S;Basis;Was ist denn das für ein Geräusch?;1
S;Basis;Was ist der beste Freund eines Mädchens?;1
S;Basis;Was ist die neue Modediät?;1
S;Basis;Was ist meine geheime Kraft?;1
S;Basis;Was verstecken meine Eltern vor mir?;1
S;Basis;Was werde ich aus der Zukunft mitbringen, um alle davon zu überzeugen, dass ich ein großartiger Magier bin?;1
S;Basis;Was willst du nicht in deinem asiatischen Essen finden?;1
S;Basis;Was wird mit dem Alter besser?;1
S;Basis;Was würde Oma ekelhaft, aber doch seltsam bezaubernd finden?;1
S;Basis;Wenn du mich, den Zaren, mit einer Karte beschreiben müsstest, welche wäre es?;1
S;Basis;Wenn ich ein Milliadär wäre, wem würde ich eine Statue widmen?;1
S;Basis;Wenn ich König von Deutschland wär, würde ich das Ministerium für \underl ins Leben rufen.;1
S;Basis;Wenn sie zum Präsidenten gewählt würden, wie würden sie die Energiekriese lösen?;1
S;Basis;Wie motivieren die Lehrer an Hauptschulen ihre Schüler, zu lernen?;1
S;Basis;Wie riechen alte Leute?;1
S;Basis;Wir stellen vor: Xtreme Fußball! Es ist wie normales Fußball, nur mit \underl.;1
S;Basis;Wissenschaftler haben kürzlich einen primitiven Stamm entdeckt, der \underl verehrt.;1
S;Basis;Womit wirst du deinen Partner immer beeindrucken können?;1
S;Basis;Wovor hast du Angst?;1
S;Böse;Das Leben der Indianer wurde für immer verändert, als die Weißen Männer ihnen \underl zeigten.;1
S;Böse;Menschen, die aussehen wie \underl.;1
S;Böse;Was haben die USA den Kindern in Afganistan vom Flugzeug abgeworden?;1
S;Böse;Wofür ist Krieg gut?;1
S;Drogen;Was ist meine Anti-Droge?;1
S;Eklig;Was lässt mich unkontrolliert furzen?;1
S;FSK 16;Eine Studie ergab, dass Teenager 50 Prozent weniger Sex hatten, nachdem man ihnen \underl zeigte.;1
S;FSK 16;Ich denke während dem Sex gerne über \underl nach.;1
S;FSK 16;Wie verlor ich meine Jungfräulichkeit?;1
S;FSK 18;Fun Tip! Wenn dein Mann dich um einen Blowjob bittet, überrasche ihn stattdessen mit \underl.;1
S;Geschichte;Als der Pharaoh seine Meinung nicht änderte, beschwörte Moses eine Plage von \underl herauf.;1
S;Geschichte;Das Naturkundemuseum stellt jetzt auch \underl aus.;1
S;Geschichte;Ich weiß nicht, mit welchen Waffen der 3. Weltkrieg gekämpft wird, aber der 4. Weltkrieg wird mit \underl gekämpft.;1
S;Geschichte;Womit werden wir in 1000 Jahren bezahlen?;1
S;Kultur;99 \underl auf ihrem Weg zum Horizont.;1
S;Kultur;Bald zu sehen: \underl, das Musical.;1
S;Kultur;Bevor ich Sie töte, Herr Bond, muss ich Ihnen \underl zeigen.;1
S;Kultur;Demnächst erscheint: Harry Potter und die Kammer der \underl.;1
S;Kultur;Gleich auf RTL: die Weltmeisterschaft der \underl.;1
S;Kultur;In Ihrem neuen Film hat Hannah Montana zum ersten Mal mit \underl zu kämpfen.;1
S;Kultur;RTLs neue Reality-TV-Show - Jetzt mit 8 Stars, die mit \underl zusammenleben.;1
S;Kultur;Was hat Vin Diesel zum Mittag gegessen?;1
S;Kultur;Was ist Batmans geheime Vorliebe?;1
S;Politik;Es ist eine Schande, dass Kinder heutzutage alle mit \underl in Berührung kommen.;1
S;Politik;Und gleich im Heute-Journal: "Hilfe, mein Sohn ist \underl!";1
S;Politik;Während sich andere Länder einen ``Wettlauf ins All'' lieferten, finanzierte die französische Regierung die Erforschung von \underl.;1
S;Religion;Hier ist die Kirche, da sind der Kirchturm, Öffne die Türen und da ist \underl.;1
S;Werbung;\underl macht Kinder froh und Erwachsene ebenso.;1
S;Werbung;\underl, davon kann man nicht nur einen haben!;1
S;Werbung;\underl: Gut bis zum letzten Tropfen.;1
S;Werbung;\underl: Von Kindern getestet, von Müttern empfohlen.;1
S;Werbung;Ein Essen im Kerzenschein wäre nix ohne \underl.;1
S;Werbung;Statt der Rute bring der Weihnachtsmann unartigen Kindern jetzt \underl.;1
S;Werbung;Was ist das nächste Happy Meal\SymbReg Spielzeug?;1
S;Basis;...Und der Preis für \underl geht an \underl.;2
S;Basis;\underl ist eine heikle Lage, die zu \underl führt.;2
S;Basis;Bei meinem nächsten Zaubertrick werde ich \underl aus einem \underl holen.;2
S;Basis;Ich habe \underl nie wirklich verstanden, bis ich auf \underl gestoßen bin.;2
S;Basis;In einer Welt verwüstet von \underl, ist \underl dein einziger Trost.;2
S;Basis;Ja richtig, ich habe \underl getötet. Willst du wissen wie?;2
S;Basis;\underl sollte in Schulen unterrichtet werden.;1
S;Basis;Schritt 1: \underl.\newline Schritt 2: \underl.\newline Schritt 3: Profit.\newline;2
S;Basis;Und der Oscar für \underl geht an \underl.;2
S;Basis;Wer bildet das nächste Superhelden/ Gehilfen-Duo?;2
S;Drogen;Als ich einen Acid-Trip hatte, wurde \underl zu \underl.;2
S;Eklig;Für meinen nächsten Trick werde ich \underl aus \underl rausziehen.;2
S;FSK 16;Sie sagten, wir wären verrückt. Sie sagten, wir könnten nicht \underl in \underl stecken. Sie lagen falsch.;2
S;Kultur;Das neue Superhelden-Duo: \underl und \underl.;2
S;Kultur;Dreamworks präsentiert: "\underl, die Geschichte von \underl.";2
S;Kultur;In M. Night Shyamalans neuen Film findet Bruce Willis heraus, dass \underl in Wirklichkeit die ganze Zeit \underl war.;2
S;Basis;\underl + \underl = \underl.;3
S;Basis;Auf einer Skala von \underl bis \underl , wie würdest du deinen Schmerz beschreiben?;2
S;Basis;Schreibe einen Haiku:\newline \underl\newline \underl\newline \underl;3
W;Religion;Deine Unschuld in einer Kirche verlieren.;
W;Religion;In eine Kirche rennen und "ALAHU AKBAR" schreien.;
S;Basis;Ich hab mir 6 Rippen gebrochen während ich \underl .;1
W;Böse;Hundewelpen ertränken.;
W;Religion;Einen Pakt mit dem Teufel eingehen.;
S;Kultur;In dieser Folge von „Mann gegen Wildnis“ muss Bear Grylls in den tiefen des Regenwald überleben, nur mit Hilfe von \underl !;1
